Tiêu chí,L?c trung v? (Median Filter),Phép nhân ch?p (Convolution),,Nhi?u,Median Filter,Convolution (blur)
Lo?i phép toán,Phi tuy?n (non-linear),Tuy?n tính (linear),,Salt & Pepper,? T?t nh?t,? Không hi?u qu?
Co ch? x? lý,Ch?n giá tr? trung v? trong vùng lân c?n,Nhân t?ng pixel v?i kernel r?i c?ng l?i,,Gaussian,? Không t?t,? R?t t?t (Gaussian blur)
B?o toàn biên ?nh (edges),? T?t: gi? biên s?c nét,"? Thu?ng làm m? biên, tr? khi dùng kernel d?c bi?t",,,,
Kh? nhi?u "salt & pepper",? C?c hi?u qu? (vì lo?i b? giá tr? ngo?i lai),? Kém hi?u qu? — làm m? toàn b?,,L?c,Median Filter,Convolution
Kh? nhi?u Gaussian,? Không t?t (do không làm mu?t d?u),? Gaussian kernel r?t hi?u qu?,,Phát hi?n biên,? Không h? tr?,"? Dùng Sobel, Prewitt, Laplacian, v.v."
Tang d? s?c nét ?nh,? Không có ch?c nang này,? Có th? thi?t k? kernel d? làm s?c nét,,,,
Làm m? ?nh,? Không dùng cho m?c dích này,? Kernel trung bình ho?c Gaussian dùng r?t ph? bi?n,,,Median,Convolution (Blur)
Tang cu?ng d?c trung (feature enhancement),? Không làm du?c,"? D? th?c hi?n v?i kernel Sobel, Laplacian, v.v.",,"Làm m? m?m, d?u",?,? Dùng mean/Gaussian
?ng d?ng trong h?c sâu (CNN),? Không dùng tr?c ti?p,? Là c?t lõi trong CNN,,Làm m? gi? biên,? Có ph?n gi?,? Biên b? m?
Tính kh? vi (differentiable),? Không kh? vi — không th? dùng d? h?c,? Có d?o hàm — có th? h?c thông qua gradient,,,,
Hi?u su?t tính toán,?? Trung bình (ph?i s?p x?p giá tr?),? Nhanh (ch? nhân và c?ng — r?t phù h?p tính toán song song),,,Median,Convolution
?n d?nh v?i nhi?u c?c tr?,? ?n d?nh cao — không b? ?nh hu?ng nhi?u b?i outlier,? D? b? kéo l?ch n?u có giá tr? quá l?n/nh? trong vùng,,Làm s?c nét (sharpening),?,? Dùng kernel Laplacian ho?c high-pass
Tùy ch?nh hành vi l?c,? Không d? ch?nh: ch? có trung v?,? Tùy ch?nh linh ho?t qua kernel,,,,
L?c có th? h?c du?c không?,? Không th? h?c tr?ng s? trung v?,? Kernel có th? h?c du?c qua backpropagation,,,Median Filter,Convolution
,,,,S? d?ng du?c không?,? Không du?c tích h?p,? C?t lõi c?a CNN
,,,,Có th? h?c du?c không?,? Không có gradient,? Có th? h?c kernel
